epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7522.95,0.91392,0.9762,1.10039,0.67474,0.69445,0.73569,0.54227,0.95642,0.94134,1.14781,0.0001684,0.0001684,0.0001684
86,7610.77,0.91185,0.9524,1.09812,0.69034,0.69126,0.73407,0.54189,0.95262,0.94606,1.14614,0.0001585,0.0001585,0.0001585
87,7698.08,0.90242,0.95041,1.09486,0.71212,0.6678,0.74162,0.54503,0.95093,0.94101,1.14734,0.0001486,0.0001486,0.0001486
88,7784.68,0.90929,0.94657,1.09673,0.71741,0.68167,0.7452,0.54958,0.946,0.93474,1.14234,0.0001387,0.0001387,0.0001387
89,7871.38,0.90529,0.94978,1.09636,0.70386,0.68589,0.74444,0.54707,0.94943,0.93772,1.1469,0.0001288,0.0001288,0.0001288
90,7958.12,0.89349,0.93411,1.09112,0.68373,0.71584,0.74633,0.55084,0.94654,0.93604,1.14579,0.0001189,0.0001189,0.0001189
91,8082.6,0.80573,0.67497,1.04688,0.68898,0.71168,0.74239,0.54557,0.95152,0.94609,1.14852,0.000109,0.000109,0.000109
92,8168.54,0.79439,0.65848,1.04491,0.71891,0.6831,0.74746,0.55065,0.94394,0.94017,1.14746,9.91e-05,9.91e-05,9.91e-05
93,8254.79,0.78762,0.64443,1.03707,0.69579,0.71005,0.74557,0.54993,0.94276,0.93757,1.14659,8.92e-05,8.92e-05,8.92e-05
94,8344.47,0.78487,0.63088,1.03547,0.69527,0.70576,0.74853,0.55199,0.94143,0.93662,1.14553,7.93e-05,7.93e-05,7.93e-05
95,8432.28,0.77751,0.61999,1.03326,0.72558,0.68252,0.75488,0.55694,0.93866,0.92916,1.14445,6.94e-05,6.94e-05,6.94e-05
96,8524.29,0.77219,0.61838,1.02747,0.68543,0.72452,0.75258,0.55585,0.93982,0.93235,1.1455,5.95e-05,5.95e-05,5.95e-05
97,8616.16,0.76886,0.60394,1.02836,0.67794,0.73533,0.75468,0.55678,0.94167,0.93109,1.14834,4.96e-05,4.96e-05,4.96e-05
98,8710.65,0.76519,0.6045,1.02981,0.67182,0.74272,0.75484,0.55815,0.9386,0.92999,1.14641,3.97e-05,3.97e-05,3.97e-05
99,8805.88,0.76054,0.60225,1.02132,0.68087,0.73822,0.75609,0.55998,0.93677,0.92854,1.14392,2.98e-05,2.98e-05,2.98e-05
100,8895.6,0.76163,0.59751,1.02077,0.66541,0.74775,0.75478,0.55758,0.93779,0.93371,1.1448,1.99e-05,1.99e-05,1.99e-05
